Time [sec] - Plot 0	Current [mA] - Plot 0
1125	2,49852
1126	2,49935
1127	2,50019
1128	2,50103
1129	2,50186
1130	2,5027
1131	2,50354
1132	2,50437
1133	2,50521
1134	2,50605
1135	2,50688
1136	2,50772
1137	2,50856
1138	2,50939
1139	2,51023
1140	2,51106
1141	2,5119
1142	2,51273
1143	2,51357
1144	2,51441
1145	2,51524
1146	2,51608
1147	2,51691
1148	2,51775
1149	2,51858
1150	2,51942
1151	2,52025
1152	2,52109
1153	2,52192
1154	2,52276
1155	2,52359
1156	2,52443
1157	2,52526
1158	2,5261
1159	2,52693
1160	2,52777
1161	2,5286
1162	2,52943
1163	2,53027
1164	2,5311
1165	2,53194
1166	2,53277
1167	2,5336
1168	2,53444
1169	2,53527
1170	2,5361
1171	2,53694
1172	2,53777
1173	2,53861
1174	2,53944
1175	2,54027
1176	2,54111
1177	2,54194
1178	2,54277
1179	2,5436
1180	2,54444
1181	2,54527
1182	2,5461
1183	2,54694
1184	2,54777
1185	2,5486
1186	2,54943
1187	2,55027
1188	2,5511
1189	2,55193
1190	2,55276
1191	2,55359
1192	2,55443
1193	2,55526
1194	2,55609
1195	2,55692
1196	2,55775
1197	2,55858
1198	2,55942
1199	2,56025
1200	2,56108
1201	2,56191
1202	2,56274
1203	2,56357
1204	2,5644
1205	2,56524
1206	2,56607
1207	2,5669
1208	2,56773
1209	2,56856
1210	2,56939
1211	2,57022
1212	2,57105
1213	2,57188
1214	2,57271
1215	2,57354
1216	2,57437
1217	2,5752
1218	2,57603
1219	2,57686
1220	2,57769
1221	2,57852
1222	2,57935
1223	2,58018
1224	2,58101
1225	2,58184
1226	2,58267
1227	2,5835
1228	2,58433
1229	2,58516
1230	2,58599
1231	2,58682
1232	2,58765
1233	2,58847
1234	2,5893
1235	2,59013
1236	2,59096
1237	2,59179
1238	2,59262
1239	2,59345
1240	2,59428
1241	2,5951
1242	2,59593
1243	2,59676
1244	2,59759
1245	2,59842
1246	2,59924
1247	2,60007
1248	2,6009
1249	2,60173
1250	2,60256
1251	2,60338
1252	2,60421
1253	2,60504
1254	2,60587
1255	2,60669
1256	2,60752
1257	2,60835
1258	2,60918
1259	2,61
1260	2,61083
1261	2,61166
1262	2,61248
1263	2,61331
1264	2,61414
1265	2,61496
1266	2,61579
1267	2,61662
1268	2,61744
1269	2,61827
1270	2,6191
1271	2,61992
1272	2,62075
1273	2,62157
1274	2,6224
1275	2,62323
1276	2,62405
1277	2,62488
1278	2,6257
1279	2,62653
1280	2,62735
1281	2,62818
1282	2,62901
1283	2,62983
1284	2,63066
1285	2,63148
1286	2,63231
1287	2,63313
1288	2,63396
1289	2,63478
1290	2,63561
1291	2,63643
1292	2,63726
1293	2,63808
1294	2,63891
1295	2,63973
1296	2,64055
1297	2,64138
1298	2,6422
1299	2,64303
1300	2,64385
1301	2,64468
1302	2,6455
1303	2,64632
1304	2,64715
1305	2,64797
1306	2,6488
1307	2,64962
1308	2,65044
1309	2,65127
1310	2,65209
1311	2,65291
1312	2,65374
1313	2,65456
1314	2,65538
1315	2,65621
1316	2,65703
1317	2,65785
1318	2,65867
1319	2,6595
1320	2,66032
1321	2,66114
1322	2,66197
1323	2,66279
1324	2,66361
1325	2,66443
1326	2,66526
1327	2,66608
1328	2,6669
1329	2,66772
1330	2,66854
1331	2,66937
1332	2,67019
1333	2,67101
1334	2,67183
1335	2,67265
1336	2,67348
1337	2,6743
1338	2,67512
1339	2,67594
1340	2,67676
1341	2,67758
1342	2,6784
1343	2,67922
1344	2,68005
1345	2,68087
1346	2,68169
1347	2,68251
1348	2,68333
1349	2,68415
1350	2,68497
1351	2,68579
1352	2,68661
1353	2,68743
1354	2,68825
1355	2,68907
1356	2,68989
1357	2,69071
1358	2,69153
1359	2,69235
1360	2,69317
1361	2,69399
1362	2,69481
1363	2,69563
1364	2,69645
1365	2,69727
1366	2,69809
1367	2,69891
1368	2,69973
1369	2,70055
1370	2,70137
1371	2,70219
1372	2,70301
1373	2,70383
1374	2,70465
1375	2,70546
1376	2,70628
1377	2,7071
1378	2,70792
1379	2,70874
1380	2,70956
1381	2,71038
1382	2,7112
1383	2,71201
1384	2,71283
1385	2,71365
1386	2,71447
1387	2,71529
1388	2,7161
1389	2,71692
1390	2,71774
1391	2,71856
1392	2,71938
1393	2,72019
1394	2,72101
1395	2,72183
1396	2,72265
1397	2,72346
1398	2,72428
1399	2,7251
1400	2,72592
1401	2,72673
1402	2,72755
1403	2,72837
1404	2,72918
1405	2,73
1406	2,73082
1407	2,73163
1408	2,73245
1409	2,73327
1410	2,73408
1411	2,7349
1412	2,73572
1413	2,73653
1414	2,73735
1415	2,73817
1416	2,73898
1417	2,7398
1418	2,74061
1419	2,74143
1420	2,74225
1421	2,74306
1422	2,74388
1423	2,74469
1424	2,74551
1425	2,74632
1426	2,74714
1427	2,74795
1428	2,74877
1429	2,74959
1430	2,7504
1431	2,75122
1432	2,75203
1433	2,75285
1434	2,75366
1435	2,75448
1436	2,75529
1437	2,75611
1438	2,75692
1439	2,75773
1440	2,75855
1441	2,75936
1442	2,76018
1443	2,76099
1444	2,76181
1445	2,76262
1446	2,76343
1447	2,76425
1448	2,76506
1449	2,76588
1450	2,76669
1451	2,7675
1452	2,76832
1453	2,76913
1454	2,76995
1455	2,77076
1456	2,77157
1457	2,77239
1458	2,7732
1459	2,77401
1460	2,77483
1461	2,77564
1462	2,77645
1463	2,77726
1464	2,77808
1465	2,77889
1466	2,7797
1467	2,78052
1468	2,78133
1469	2,78214
1470	2,78295
1471	2,78377
1472	2,78458
1473	2,78539
1474	2,7862
1475	2,78701
1476	2,78783
1477	2,78864
1478	2,78945
1479	2,79026
1480	2,79107
1481	2,79189
1482	2,7927
1483	2,79351
1484	2,79432
1485	2,79513
1486	2,79594
1487	2,79676
1488	2,79757
1489	2,79838
1490	2,79919
1491	2,8
1492	2,80081
1493	2,80162
1494	2,80243
1495	2,80324
1496	2,80406
1497	2,80487
1498	2,80568
1499	2,80649
1500	2,8073
1501	2,80811
1502	2,80892
1503	2,80973
1504	2,81054
1505	2,81135
1506	2,81216
1507	2,81297
1508	2,81378
1509	2,81459
1510	2,8154
1511	2,81621
1512	2,81702
1513	2,81783
1514	2,81864
1515	2,81945
1516	2,82026
1517	2,82107
1518	2,82188
1519	2,82269
1520	2,8235
1521	2,8243
1522	2,82511
1523	2,82592
1524	2,82673
1525	2,82754
1526	2,82835
1527	2,82916
1528	2,82997
1529	2,83078
1530	2,83158
1531	2,83239
1532	2,8332
1533	2,83401
1534	2,83482
1535	2,83563
1536	2,83643
1537	2,83724
1538	2,83805
1539	2,83886
1540	2,83967
1541	2,84047
1542	2,84128
1543	2,84209
1544	2,8429
1545	2,8437
1546	2,84451
1547	2,84532
1548	2,84613
1549	2,84693
1550	2,84774
1551	2,84855
1552	2,84936
1553	2,85016
1554	2,85097
1555	2,85178
1556	2,85258
1557	2,85339
1558	2,8542
1559	2,855
1560	2,85581
1561	2,85662
1562	2,85742
1563	2,85823
1564	2,85904
1565	2,85984
1566	2,86065
1567	2,86146
1568	2,86226
1569	2,86307
1570	2,86387
1571	2,86468
1572	2,86549
1573	2,86629
1574	2,8671
1575	2,8679
1576	2,86871
1577	2,86951
1578	2,87032
1579	2,87113
1580	2,87193
1581	2,87274
1582	2,87354
1583	2,87435
1584	2,87515
1585	2,87596
1586	2,87676
1587	2,87757
1588	2,87837
1589	2,87918
1590	2,87998
1591	2,88079
1592	2,88159
1593	2,8824
1594	2,8832
1595	2,884
1596	2,88481
1597	2,88561
1598	2,88642
1599	2,88722
1600	2,88803
1601	2,88883
1602	2,88963
1603	2,89044
1604	2,89124
1605	2,89204
1606	2,89285
1607	2,89365
1608	2,89446
1609	2,89526
1610	2,89606
1611	2,89687
1612	2,89767
1613	2,89847
1614	2,89928
1615	2,90008
1616	2,90088
1617	2,90169
1618	2,90249
1619	2,90329
1620	2,90409
1621	2,9049
1622	2,9057
1623	2,9065
1624	2,9073
1625	2,90811
1626	2,90891
1627	2,90971
1628	2,91051
1629	2,91132
1630	2,91212
1631	2,91292
1632	2,91372
1633	2,91453
1634	2,91533
1635	2,91613
1636	2,91693
1637	2,91773
1638	2,91853
1639	2,91934
1640	2,92014
1641	2,92094
1642	2,92174
1643	2,92254
1644	2,92334
1645	2,92414
1646	2,92495
1647	2,92575
1648	2,92655
1649	2,92735
1650	2,92815
1651	2,92895
1652	2,92975
1653	2,93055
1654	2,93135
1655	2,93215
1656	2,93295
1657	2,93376
1658	2,93456
1659	2,93536
1660	2,93616
1661	2,93696
1662	2,93776
1663	2,93856
1664	2,93936
1665	2,94016
1666	2,94096
1667	2,94176
1668	2,94256
1669	2,94336
1670	2,94416
1671	2,94496
1672	2,94576
1673	2,94656
1674	2,94736
1675	2,94815
1676	2,94895
1677	2,94975
1678	2,95055
1679	2,95135
1680	2,95215
1681	2,95295
1682	2,95375
1683	2,95455
1684	2,95535
1685	2,95615
1686	2,95694
1687	2,95774
1688	2,95854
1689	2,95934
1690	2,96014
1691	2,96094
1692	2,96174
1693	2,96253
1694	2,96333
1695	2,96413
1696	2,96493
1697	2,96573
1698	2,96652
1699	2,96732
1700	2,96812
1701	2,96892
1702	2,96972
1703	2,97051
1704	2,97131
1705	2,97211
1706	2,97291
1707	2,9737
1708	2,9745
1709	2,9753
1710	2,9761
1711	2,97689
1712	2,97769
1713	2,97849
1714	2,97928
1715	2,98008
1716	2,98088
1717	2,98168
1718	2,98247
1719	2,98327
1720	2,98407
1721	2,98486
1722	2,98566
1723	2,98646
1724	2,98725
1725	2,98805
1726	2,98884
1727	2,98964
1728	2,99044
1729	2,99123
1730	2,99203
1731	2,99283
1732	2,99362
1733	2,99442
1734	2,99521
1735	2,99601
1736	2,9968
1737	2,9976
1738	2,9984
1739	2,99919
1740	2,99999
1741	3,00078
1742	3,00158
1743	3,00237
1744	3,00317
1745	3,00396
1746	3,00476
1747	3,00555
1748	3,00635
1749	3,00714
1750	3,00794
1751	3,00873
1752	3,00953
1753	3,01032
1754	3,01112
1755	3,01191
1756	3,01271
1757	3,0135
1758	3,0143
1759	3,01509
1760	3,01588
1761	3,01668
1762	3,01747
1763	3,01827
1764	3,01906
1765	3,01985
1766	3,02065
1767	3,02144
1768	3,02224
1769	3,02303
1770	3,02382
1771	3,02462
1772	3,02541
1773	3,0262
1774	3,027
1775	3,02779
1776	3,02858
1777	3,02938
1778	3,03017
1779	3,03096
1780	3,03176
1781	3,03255
1782	3,03334
1783	3,03414
1784	3,03493
1785	3,03572
1786	3,03651
1787	3,03731
1788	3,0381
1789	3,03889
1790	3,03969
1791	3,04048
1792	3,04127
1793	3,04206
1794	3,04285
1795	3,04365
1796	3,04444
1797	3,04523
1798	3,04602
1799	3,04682
1800	3,04761
1801	3,0484
1802	3,04919
1803	3,04998
1804	3,05077
1805	3,05157
1806	3,05236
1807	3,05315
1808	3,05394
1809	3,05473
1810	3,05552
1811	3,05631
1812	3,05711
1813	3,0579
1814	3,05869
1815	3,05948
1816	3,06027
1817	3,06106
1818	3,06185
1819	3,06264
1820	3,06343
1821	3,06422
1822	3,06501
1823	3,06581
1824	3,0666
1825	3,06739
1826	3,06818
1827	3,06897
1828	3,06976
1829	3,07055
1830	3,07134
1831	3,07213
1832	3,07292
1833	3,07371
1834	3,0745
1835	3,07529
1836	3,07608
1837	3,07687
1838	3,07766
1839	3,07845
1840	3,07924
1841	3,08003
1842	3,08082
1843	3,0816
1844	3,08239
1845	3,08318
1846	3,08397
1847	3,08476
1848	3,08555
1849	3,08634
1850	3,08713
1851	3,08792
1852	3,08871
1853	3,0895
1854	3,09028
1855	3,09107
1856	3,09186
1857	3,09265
1858	3,09344
1859	3,09423
1860	3,09502
1861	3,0958
1862	3,09659
1863	3,09738
